site,category,Google hits ,FB likes,Twitter ,political alignment?,URL,Notes
Newslo ,satire ,"373,000","180,128",19700,none,http://politicops.com/about-us/,
Newsmax,clickbait  ,"10,700,000","1,158,815",64100,right,http://www.newsmax.com/,
NewsMutiny,satire ,"6,730",-,-,left,http://newsmutiny.com/,
NewsWatch33 (formerly Newswatch28),clickbait  ,"149,000","460,660",,left,https://www.facebook.com/newswatch33/,allegedly mixed to circumvent FB crackdown on fake news
Next News Network,clickbait  ,"352,000","10,387",5284,right,http://nextnewsnetwork.com/,
NoDisInfo,conspiracy  ,"47,600",249,1335,,http://nodisinfo.com/,
Nos Comunicamos,clickbait  ,"1,550,000","16,514",783,right,http://noscomunicamos.com/,
Now8News,fake news,"81,900",-,159000,none,http://now8news.com/,
NowTheEndBegins,satire ,"180,000","143,782",12100,right,http://www.nowtheendbegins.com/,
NowThis News,clickbait  ,"411,000","8,540,725",451000,left,https://nowthisnews.com/,
Occupy Democrats,clickbait  ,"1,960,000","4,650,122",18800,left,http://occupydemocrats.com/,
One America News Network,clickbait  ,"188,000","113,021",50100,right,http://www.oann.com/,
Online Conservative Press,conspiracy  ,"48,800,000","162,617",-,,http://onlineconservativepress.com/,
Opposing Views,clickbait  ,"4,200,000","3,765,123",38500,left,http://www.opposingviews.com/,
Pak Alert Press,conspiracy  ,"97,300","87,817",9057,,http://www.pakalertpress.com/,
Patriot Update,conspiracy  ,"489,000","271,863",21600,,http://patriotupdate.com/,
Personal Liberty,clickbait  ,"1,700,000","1,200,000",4600,right,http://personalliberty.com/,
PJ Media,clickbait  ,"784,000","349,000",50200,right,https://pjmedia.com/,
PM Nightly News,clickbait  ,"10,600","5,622",1385,right,http://pmnightlynews.com/,
Policy Review,clickbait  ,"3,590,000",-,204,right,http://www.policyreview.eu/,
Political Ears,clickbait  ,"20,600","770,000",25,right,http://www.politicalears.com/,
Political Insider,clickbait  ,"1,280,000","2,753,210",30700,right,http://www.thepoliticalinsider.com/,
Political Updater,clickbait  ,801,"998,097",-,left,http://politicalupdater.com/,
PoliticalBlindSpot,clickbait  ,"31,300","24,658",903,left,http://politicalblindspot.com/,
Politichicks,clickbait  ,"128,000","149,131",17300,right,http://politichicks.com/,
PoliticusUSA,clickbait  ,"705,000","648,216",50600,left,http://www.politicususa.com/,
Power Line,clickbait  ,"20,400,000","9,863",6890,right,http://www.powerlineblog.com/,
Pravda Report,clickbait  ,"229,000","63,619",20400,left,http://www.pravdareport.com/,
PrisonPlanet.com,conspiracy  ,"1,210,000","23,371",378000,,http://www.prisonplanet.com/,Alex Jones network
Prntly,clickbait  ,"39,900","92,349",726,right,http://prntly.com/,
Pro-America News,clickbait  ,"553,000","297,437",-,right,http://www.proamericanews.com/,
Progressives Today,clickbait  ,"61,100","2,618",10000,right,https://www.progressivestoday.com/,
ProjectVeritas,clickbait  ,"4,590,000","128,633",83500,right,http://projectveritas.com/,
Prophecy Today,conspiracy  ,"80,500","11,343",1908,,http://www.prophecytoday.com/,
Proud Conservative,clickbait  ,"251,000","655,689",-,right,http://www.proudcons.com/,
Proud Democrat,clickbait  ,"17,800,000","545,470",-,left,http://proudemocrat.com/,
Raw Story,clickbait  ,"1,580,000","758,151",109000,left,https://www.rawstory.com/,
React 365,fake news,"16,200",-,-,none,http://www.react365.com/,Generate your own fake news
Reagan Coalition,clickbait  ,"111,000","253,388",44700,right,http://reagancoalition.com/,
Real Time Politics,clickbait  ,"51,400","998,200",83100,left,http://realtimepolitics.com/,
RealFarmacy,junk science,"671,000","859,946",2278,none,http://www.realfarmacy.com/,"Old news, opinion pieces, some inaccurate some not"
RealNewsRightNow,satire ,"11,500","1,559",499,none,http://realnewsrightnow.com/,
Red Flag News,conspiracy  ,"393,000","274,221",11100,,http://www.redflagnews.com/,
Red Pepper,clickbait  ,"21,100,000","12,909",-,left,http://www.redpepper.org.uk/,
Red State ,,"1,330,000","533,264",182000,right,http://www.redstate.com/,
Red State Watcher,clickbait  ,"106,000","533,261",568,right,http://redstatewatcher.com/,
Reductress ,satire ,"134,000","109,274",66300,none,http://reductress.com/,
Regated News,clickbait  ,768,960,16500,right,https://regated.com/,
Rense,conspiracy  ,"4,030,000",316,260,,http://www.rense.com/,
Reverb Press,clickbait  ,"268,000","638,740",16500,left,http://reverbpress.com/,
Revolution News,clickbait  ,"537,000","1,092,256",46000,left,http://revnews.tumblr.com/,
Rewire,clickbait  ,"4,010,000","15,000",255,left,https://rewire.news/,
Right Wing News,clickbait  ,"808,000","3,420,732",112000,right,http://rightwingnews.com/,
Right Wing Watch,clickbait  ,"343,000","135,336",45000,left,http://www.rightwingwatch.org/,
RileNews,satire ,"1,390",370,7,none,http://www.rilenews.com/,
Ring of Fire,clickbait  ,"12,000,000","200,356",27400,left,https://trofire.com/,
RockCityTimes,satire ,"14,600","13,781",3058,left,http://www.rockcitytimes.com/,
Satira Tribune,fake news,"11,800","30,418",924,left,http://www.satiratribune.com/,
